30/06/21 04:45:22|out|1715|39318967
30/06/21 07:55:20|out|3786|39318967
21/07/21 11:12:22|in|476|40936455
27/07/21 07:18:53|out|2638|39318967
28/07/21 08:32:50|in|1446|40936455
21/08/21 10:36:23|out|3800|40936455
26/08/21 07:57:20|in|1534|40936455
17/09/21 12:38:52|out|164|38812889
17/09/21 12:44:29|out|172|38812889
22/09/21 03:43:45|out|2914|40936455
23/09/21 11:03:53|out|1042|40936455
01/10/21 04:16:22|in|368|42196776
01/10/21 09:44:57|out|195|43854950
01/10/21 11:27:26|in|338|42196776
01/10/21 11:33:09|in|282|42196776
04/10/21 05:22:02|out|115|43854950
09/10/21 08:40:14|out|445|37399851
14/10/21 03:51:25|in|2494|40756190
22/10/21 01:01:14|in|2247|42196776
22/10/21 09:59:45|in|1452|42196776
27/10/21 11:23:39|out|52|43854950
27/10/21 11:27:12|out|668|43854950
29/10/21 11:53:53|out|2341|37399851
04/11/21 11:06:15|out|27|45385253
04/11/21 11:07:47|out|53|45385253
04/11/21 11:08:44|out|42|45385253
04/11/21 11:09:27|out|5|45385253
04/11/21 11:10:14|out|36|45385253
12/11/21 11:00:15|in|3162|42196776
15/11/21 10:03:28|out|866|38812889
15/11/21 10:18:15|out|177|38812889
16/11/21 11:17:11|in|943|42196776
21/11/21 10:17:04|out|285|43854950
12/12/21 12:15:24|out|1152|36976443
22/12/21 10:42:23|in|5737|40756190
